index,Area_Name,Year,Group_Name,Sub_Group_Name,Persons_Acquitted,Persons_against_whom_cases_Compounded_or_Withdrawn,Persons_Arrested,Persons_Chargesheeted,Persons_Convicted,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_beginning,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_end,Persons_in_Custody_or_on_Bail_during_Trial_at_Year_End,Persons_Released_or_Freed_by_Police_or_Magistrate_before_Trial_for_want_of_evidence_or_any_other_reason,Persons_Trial_Completed,Persons_under_Trial_at_Year_beginning,Total_Persons_under_Trial
0,Andaman & Nicobar Islands,2001,Rape,01. Rape,6,0,3,3,0,6,6,45,0,6,48,51
1,Andhra Pradesh,2001,Rape,01. Rape,1168,13,1150,1021,246,450,545,2191,34,1414,2597,3618
2,Arunachal Pradesh,2001,Rape,01. Rape,1,0,51,31,2,25,30,347,15,3,319,350
3,Assam,2001,Rape,01. Rape,403,14,928,585,120,806,959,2331,190,523,2283,2868
4,Bihar,2001,Rape,01. Rape,756,0,1400,1302,217,719,576,5963,241,973,5634,6936
5,Chandigarh,2001,Rape,01. Rape,12,0,32,31,2,0,0,59,1,14,42,73
6,Chhattisgarh,2001,Rape,01. Rape,636,67,1134,1213,276,116,37,4918,0,912,4684,5897
7,Dadra & Nagar Haveli,2001,Rape,01. Rape,9,0,10,11,1,2,1,32,0,10,31,42
8,Daman & Diu,2001,Rape,01. Rape,3,0,0,1,0,1,0,1,0,3,3,4
9,Delhi,2001,Rape,01. Rape,166,0,454,394,157,114,159,2597,15,323,2526,2920
10,Goa,2001,Rape,01. Rape,12,0,14,15,22,9,7,55,1,34,74,89
11,Gujarat,2001,Rape,01. Rape,223,10,401,411,32,41,31,3211,0,255,3065,3476
12,Haryana,2001,Rape,01. Rape,443,1,539,519,126,17,35,1020,2,569,1071,1590
13,Himachal Pradesh,2001,Rape,01. Rape,110,0,152,146,36,49,51,675,4,146,675,821
14,Jammu & Kashmir,2001,Rape,01. Rape,132,5,222,225,8,3,0,909,0,140,829,1054
15,Jharkhand,2001,Rape,01. Rape,267,15,637,885,114,345,62,1255,35,381,766,1651
16,Karnataka,2001,Rape,01. Rape,280,9,361,372,48,129,94,1609,24,328,1574,1946
17,Kerala,2001,Rape,01. Rape,136,6,712,673,33,546,572,2919,13,169,2421,3094
18,Lakshadweep,2001,Rape,01. Rape,0,0,0,1,0,1,0,1,0,0,0,1
19,Madhya Pradesh,2001,Rape,01. Rape,2285,9,3212,3199,720,132,140,8829,5,3005,8644,11843
20,Maharashtra,2001,Rape,01. Rape,1085,17,1886,1915,155,323,265,14394,29,1240,13736,15651
21,Manipur,2001,Rape,01. Rape,1,0,17,4,0,22,15,64,20,1,61,65
22,Meghalaya,2001,Rape,01. Rape,13,0,29,26,0,63,57,270,9,13,257,283
23,Mizoram,2001,Rape,01. Rape,12,0,64,69,44,52,47,98,0,56,85,154
24,Nagaland,2001,Rape,01. Rape,0,3,28,13,6,19,34,55,0,6,51,64
25,Odisha,2001,Rape,01. Rape,417,0,887,885,96,45,44,3029,3,513,2657,3542
26,Puducherry,2001,Rape,01. Rape,0,0,13,12,0,3,4,20,0,0,8,20
27,Punjab,2001,Rape,01. Rape,240,4,459,418,133,138,163,538,16,373,497,915
28,Rajasthan,2001,Rape,01. Rape,1055,10,1147,1146,402,41,42,5012,0,1457,5333,6479
29,Sikkim,2001,Rape,01. Rape,5,0,6,5,2,1,2,3,0,7,5,10
30,Tamil Nadu,2001,Rape,01. Rape,267,10,565,534,130,313,320,1693,24,397,1566,2100
31,Tripura,2001,Rape,01. Rape,59,0,139,80,17,31,40,78,50,76,74,154
32,Uttar Pradesh,2001,Rape,01. Rape,939,25,2685,2525,1032,236,281,9460,115,1971,8931,11456
33,Uttarakhand,2001,Rape,01. Rape,46,2,82,79,36,8,9,336,2,82,341,420
34,West Bengal,2001,Rape,01. Rape,706,0,1027,830,54,762,815,5943,144,760,5873,6703
35,Andaman & Nicobar Islands,2002,Rape,01. Rape,2,0,6,12,1,6,0,54,0,3,45,57
36,Andhra Pradesh,2002,Rape,01. Rape,856,15,1340,1322,175,545,512,2467,51,1031,2191,3513
